Mobile_Name,Mobile_Price,Rating,Image_URL
"Redmi 9 Prime (Matte Black, 4GB RAM, 128GB Storage) - Full HD+ Display & AI Quad Camera","₹15,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71U2SiHgbiL._AC_UL320_.jpg
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display","₹12,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71X5I1cVfbL._AC_UL320_.jpg
"Redmi 9 Power (Mighty Black, 4GB RAM, 128GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera | Snapdragon 662 Processor","₹16,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71hEzQGO5qL._AC_UL320_.jpg
"Oppo A52 (Twilight Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹10,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71FPmXaDfbL._AC_UL320_.jpg
"Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 128GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free","₹12,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71usqWEJleL._AC_UL320_.jpg
"Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 64GB Storage)- 64MP Quad Camera & Alexa Hands-Free","₹10,499",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71usqWEJleL._AC_UL320_.jpg
"Samsung Galaxy M21 (Iceberg Blue, 4GB RAM, 64GB Storage)","₹13,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71vvUDCY4PL._AC_UL320_.jpg
"OPPO A52 (Stream White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹10,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71RadpHBLhL._AC_UL320_.jpg
"Samsung Galaxy M11 (Metallic Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹12,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71hqi389rcL._AC_UL320_.jpg
"Samsung Galaxy M11 (Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹10,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71K413NPv9L._AC_UL320_.jpg
"Redmi 9 Power (Electric Green, 4GB RAM, 128GB Storage) - 6000mAh Battery|FHD+ Screen | 48MP Quad Camera | Snapdragon 662 Processor","₹12,990",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71hEzQGO5qL._AC_UL320_.jpg
"Redmi Note 8 (Neptune Blue, 4GB RAM, 64GB Storage) | Snapdragon 665 Processor | 48 MP Quad Camera","₹11,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61Z-7BVaFUL._AC_UL320_.jpg
"Vivo Y31 (Ocean Blue, 6GB, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹15,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71YW54xTE1L._AC_UL320_.jpg
"Realme 6i (Eclipse Black, 6GB RAM, 64GB Storage)","₹13,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/41qFZCl0rEL._AC_UL320_.jpg
"Realme 7 (Mist Blue, 128 GB) (8 GB RAM)","₹17,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/31El3mZBGQL._AC_UL320_.jpg
"Vivo Y20 (Purist Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹18,499",4.2 out of 5 stars,https://m.media-amazon.com/images/I/51GkdMbNKfL._AC_UL320_.jpg
"Vivo Y30 (Emerald Black, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹22,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61424WwLFjL._AC_UL320_.jpg
"Vivo Y20 (Obsidian Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","₹13,499",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71SVzNmepQL._AC_UL320_.jpg
